Lote,Endereco,link,Titulo,Descricao,Total_Fotos,Rotulo,Valor (R$),Data
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  191",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-191/33480-205600,www.portalzuk.com.br,,0,2º leilão,85262.4130,28/07/2025 às 10:13
Sala Comercial,"Rio de Janeiro / RJ - Centro Rua da Alfândega,  25",https://www.portalzuk.com.br/imovel/rj/rio-de-janeiro/centro/rua-da-alfandega-25/33445-205009,www.portalzuk.com.br,,0,Lance inicial,40000.00,14/07/2025 às 10:14
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Moisés de Corena,  940",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-moises-de-corena-940/33480-205601,www.portalzuk.com.br,,0,1º leilão,98000.00,14/07/2025 às 10:14
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Moisés de Corena,  940",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-moises-de-corena-940/33480-205601,www.portalzuk.com.br,,0,2º leilão,84824.3213,28/07/2025 às 10:14
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Igarapé Água Azul,  949",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-igarape-agua-azul-949/33480-205602,Casa à venda em leilão,,0,1º leilão,117000.00,14/07/2025 às 10:15
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Igarapé Água Azul,  949",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-igarape-agua-azul-949/33480-205602,Casa à venda em leilão,,0,2º leilão,91698.4822,28/07/2025 às 10:15
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  399",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-399/33480-205603,Casa à venda em leilão,,0,1º leilão,121900.00,14/07/2025 às 10:16
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  399",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-399/33480-205603,Casa à venda em leilão,,0,2º leilão,65292.1346,28/07/2025 às 10:16
Sala Comercial,"Rio de Janeiro / RJ - Centro Rua da Alfândega,  25",https://www.portalzuk.com.br/imovel/rj/rio-de-janeiro/centro/rua-da-alfandega-25/33445-205010,Casa à venda em leilão,,0,Lance inicial,38000.00,14/07/2025 às 10:17
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Dante Alderigo,  157",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-dante-alderigo-157/33480-205703,Casa à venda em leilão,,0,1º leilão,133000.00,14/07/2025 às 10:17
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Dante Alderigo,  157",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-dante-alderigo-157/33480-205703,Casa à venda em leilão,,0,2º leilão,89027.8733,28/07/2025 às 10:17
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Engenheiro Carlo Grazia,  62",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-engenheiro-carlo-grazia-62/33480-205704,Casa à venda em leilão,,0,1º leilão,123400.00,14/07/2025 às 10:18
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Engenheiro Carlo Grazia,  62",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-engenheiro-carlo-grazia-62/33480-205704,Casa à venda em leilão,,0,2º leilão,165226.38,28/07/2025 às 10:18
Apartamento,"São Paulo / SP - Jardim Santa Etelvina Rua Dante Alderigo,  157",https://www.portalzuk.com.br/imovel/sp/sao-paulo/jardim-santa-etelvina/rua-dante-alderigo-157/33480-205705,Casa à venda em leilão,,0,1º leilão,133000.00,14/07/2025 às 10:19
Apartamento,"São Paulo / SP - Jardim Santa Etelvina Rua Dante Alderigo,  157",https://www.portalzuk.com.br/imovel/sp/sao-paulo/jardim-santa-etelvina/rua-dante-alderigo-157/33480-205705,Casa à venda em leilão,,0,2º leilão,188128.17,28/07/2025 às 10:19
Casa,"Nilópolis / RJ - Olinda Rua Sargento Roberto Santos (Antiga Rua Caruaru),  41",https://www.portalzuk.com.br/imovel/rj/nilopolis/olinda/rua-sargento-roberto-santos-(antiga-rua-caruaru)-41/33445-205011,Casa à venda em leilão,,0,Lance inicial,110000.00,14/07/2025 às 10:20
Casa,"Centro Novo do Maranhão / MA - Farol Rua Batista,  12",https://www.portalzuk.com.br/imovel/ma/centro-novo-do-maranhao/farol/rua-batista-12/33445-205012,Casa à venda em leilão,,0,Lance inicial,56000.00,14/07/2025 às 10:23
Casa,"São Miguel do Tapuio / PI - Luiz de Araujo Torres Rua Santo André,  04",https://www.portalzuk.com.br/imovel/pi/sao-miguel-do-tapuio/luiz-de-araujo-torres/rua-santo-andre-04/33445-205013,Casa à venda em leilão,,0,Lance inicial,20000.00,14/07/2025 às 10:26
Casa,"São Paulo / SP - Vila Ré Rua Pangauá,  1000",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-re/rua-pangaua-1000/33241-203316,Casa à venda em leilão,,0,1º leilão,556045.83,23/06/2025 às 10:20
Casa,"São Paulo / SP - Vila Ré Rua Pangauá,  1000",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-re/rua-pangaua-1000/33241-203316,Casa à venda em leilão,,0,2º leilão,444836.6620,14/07/2025 às 10:20
Casa,"Caldas Novas / GO - Chácara Roma Via de Acesso Marina Mofatto Área C-1,  S/n",https://www.portalzuk.com.br/imovel/go/caldas-novas/chacara-roma/via-de-acesso-marina-mofatto-area-c_1-s-n/33513-205300,www.portalzuk.com.br,,0,1º leilão,266800.00,10/07/2025 às 10:30
Casa,"Caldas Novas / GO - Chácara Roma Via de Acesso Marina Mofatto Área C-1,  S/n",https://www.portalzuk.com.br/imovel/go/caldas-novas/chacara-roma/via-de-acesso-marina-mofatto-area-c_1-s-n/33513-205300,www.portalzuk.com.br,,0,2º leilão,244014.479,14/07/2025 às 10:30
Casa,"Campo Grande / MS - Monte Castelo Rua Corumbá,  255",https://www.portalzuk.com.br/imovel/ms/campo-grande/monte-castelo/rua-corumba-255/33472-205166,Apartamento à venda em leilão,,0,1º leilão,424198.82,14/07/2025 às 10:30
Casa,"Campo Grande / MS - Monte Castelo Rua Corumbá,  255",https://www.portalzuk.com.br/imovel/ms/campo-grande/monte-castelo/rua-corumba-255/33472-205166,Apartamento à venda em leilão,,0,2º leilão,250133.3241,21/07/2025 às 10:30
Comercial / Industrial,"São Paulo / SP - Aclimação Rua Muniz de Sousa,  126/130",https://www.portalzuk.com.br/imovel/sp/sao-paulo/aclimacao/rua-muniz-de-sousa-126-130/33238-203313,www.portalzuk.com.br,,0,1º leilão,2813165.57,23/06/2025 às 10:30
Comercial / Industrial,"São Paulo / SP - Aclimação Rua Muniz de Sousa,  126/130",https://www.portalzuk.com.br/imovel/sp/sao-paulo/aclimacao/rua-muniz-de-sousa-126-130/33238-203313,www.portalzuk.com.br,,0,2º leilão,1687899.3440,14/07/2025 às 10:30
Casa,"Atibaia / SP - Jardim dos Pinheiros Rua das Angélicas,  s/nº",https://www.portalzuk.com.br/imovel/sp/atibaia/jardim-dos-pinheiros/rua-das-angelicas-s-nº/33263-203586,Apartamento à venda em leilão,,0,Valor,881610.45,14/07/2025 às 10:50
Apartamento,"Balneário Camboriú / SC - Centro Rua 4500,  40",https://www.portalzuk.com.br/imovel/sc/balneario-camboriu/centro/rua-4500-40/33333-203946,www.portalzuk.com.br,,0,1º leilão,1525545.27,30/06/2025 às 11:00
Apartamento,"Balneário Camboriú / SC - Centro Rua 4500,  40",https://www.portalzuk.com.br/imovel/sc/balneario-camboriu/centro/rua-4500-40/33333-203946,www.portalzuk.com.br,,0,2º leilão,1421377.177,14/07/2025 às 11:00
Casa,"Caieiras / SP - Residencial San Marino Rua Maria Gazolla Dártora,  333",https://www.portalzuk.com.br/imovel/sp/caieiras/residencial-san-marino/rua-maria-gazolla-dartora-333/33428-204785,Apartamento à venda em leilão,,0,1º leilão,539648.12,14/07/2025 às 11:00
Casa,"Caieiras / SP - Residencial San Marino Rua Maria Gazolla Dártora,  333",https://www.portalzuk.com.br/imovel/sp/caieiras/residencial-san-marino/rua-maria-gazolla-dartora-333/33428-204785,Apartamento à venda em leilão,,0,2º leilão,367907.8532,28/07/2025 às 11:00
Apartamento,"Belo Horizonte / MG - Buritis Rua Maria Heilbuth Surette,  1051",https://www.portalzuk.com.br/imovel/mg/belo-horizonte/buritis/rua-maria-heilbuth-surette-1051/33428-204786,www.portalzuk.com.br,,0,1º leilão,551006.40,14/07/2025 às 11:01
Apartamento,"Belo Horizonte / MG - Buritis Rua Maria Heilbuth Surette,  1051",https://www.portalzuk.com.br/imovel/mg/belo-horizonte/buritis/rua-maria-heilbuth-surette-1051/33428-204786,www.portalzuk.com.br,,0,2º leilão,396022.7428,28/07/2025 às 11:01
Casa,"Campo Limpo Paulista / SP - Estância São Paulo Estrada Santa Clara,  2001",https://www.portalzuk.com.br/imovel/sp/campo-limpo-paulista/estancia-sao-paulo/estrada-santa-clara-2001/33333-204075,Apartamento à venda em leilão,,0,1º leilão,1384717.51,30/06/2025 às 11:01
Casa,"Campo Limpo Paulista / SP - Estância São Paulo Estrada Santa Clara,  2001",https://www.portalzuk.com.br/imovel/sp/campo-limpo-paulista/estancia-sao-paulo/estrada-santa-clara-2001/33333-204075,Apartamento à venda em leilão,,0,2º leilão,692358.7650,14/07/2025 às 11:01
Casa,"Santana de Parnaíba / SP - Alphaville Alameda Lautrec,  74",https://www.portalzuk.com.br/imovel/sp/santana-de-parnaiba/alphaville/alameda-lautrec-74/33483-205188,www.portalzuk.com.br,,0,1º leilão,5282305.47,11/07/2025 às 11:02
Casa,"Santana de Parnaíba / SP - Alphaville Alameda Lautrec,  74",https://www.portalzuk.com.br/imovel/sp/santana-de-parnaiba/alphaville/alameda-lautrec-74/33483-205188,www.portalzuk.com.br,,0,2º leilão,4766158.4910,14/07/2025 às 11:02
Apartamento,"São Paulo / SP - Perdizes Rua Turiassu,  507",https://www.portalzuk.com.br/imovel/sp/sao-paulo/perdizes/rua-turiassu-507/33428-204787,Apartamento à venda em leilão,,0,1º leilão,1224218.77,14/07/2025 às 11:02
Apartamento,"São Paulo / SP - Perdizes Rua Turiassu,  507",https://www.portalzuk.com.br/imovel/sp/sao-paulo/perdizes/rua-turiassu-507/33428-204787,Apartamento à venda em leilão,,0,2º leilão,612109.3950,28/07/2025 às 11:02
Apartamento,"São Paulo / SP - Vila Madalena Rua Ourânia,  100",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-madalena/rua-ourania-100/33333-204299,Apartamento à venda em leilão,,0,1º leilão,1309932.39,30/06/2025 às 11:02
Apartamento,"São Paulo / SP - Vila Madalena Rua Ourânia,  100",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-madalena/rua-ourania-100/33333-204299,Apartamento à venda em leilão,,0,2º leilão,747119.7143,14/07/2025 às 11:02
