Rotulo,Valor (R$),Data,Lote,Endereco,link,Andar,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Vagas
1º leilão,"
                      754.442,07",28/04/2025 às 11:08,Casa,"São Paulo / SP - Jardim Eliane Rua Tacacazeiro,  283",https://www.portalzuk.com.br/imovel/sp/sao-paulo/jardim-eliane/rua-tacacazeiro-283/32876-200919,,,"67,83m²","163,32m²",,,,
2º leilão," 537.344,4129",30/04/2025 às 11:08,Casa,"São Paulo / SP - Jardim Eliane Rua Tacacazeiro,  283",https://www.portalzuk.com.br/imovel/sp/sao-paulo/jardim-eliane/rua-tacacazeiro-283/32876-200919,,,,,,,,
1º leilão,"
                      291.943,22",28/04/2025 às 11:14,Casa,"Trindade / GO - Jardim Decolores Avenida João Xxiii,  s/nº",https://www.portalzuk.com.br/imovel/go/trindade/jardim-decolores/avenida-joao-xxiii-s-nº-/32876-200921,,,,,,,,
2º leilão," 243.849,2716",30/04/2025 às 11:14,Casa,"Trindade / GO - Jardim Decolores Avenida João Xxiii,  s/nº",https://www.portalzuk.com.br/imovel/go/trindade/jardim-decolores/avenida-joao-xxiii-s-nº-/32876-200921,,,,,,,,
1º leilão,"
                      637.000,00",28/04/2025 às 11:17,Casa,"Curitiba / PR - Guaíra Rua Assis Figueiredo,  928",https://www.portalzuk.com.br/imovel/pr/curitiba/guaira/rua-assis-figueiredo-928/32876-200922,,,,,,,,
2º leilão," 382.200,0040",30/04/2025 às 11:17,Casa,"Curitiba / PR - Guaíra Rua Assis Figueiredo,  928",https://www.portalzuk.com.br/imovel/pr/curitiba/guaira/rua-assis-figueiredo-928/32876-200922,,,,,,,,
1º leilão,"
                      437.000,00",28/04/2025 às 11:20,Casa,"Primavera do Leste / MT - Residencial Buritis Primavera Rua Butiá,  553",https://www.portalzuk.com.br/imovel/mt/primavera-do-leste/residencial-buritis-primavera/rua-butia-553/32876-200923,,,,,,,,
2º leilão," 262.200,0040",30/04/2025 às 11:20,Casa,"Primavera do Leste / MT - Residencial Buritis Primavera Rua Butiá,  553",https://www.portalzuk.com.br/imovel/mt/primavera-do-leste/residencial-buritis-primavera/rua-butia-553/32876-200923,,,,,,,,
1º leilão,"
                      461.883,07",28/04/2025 às 11:23,Casa,"Goiânia / GO - Feliz Rua L3,  189",https://www.portalzuk.com.br/imovel/go/goiania/feliz/rua-l3-189/32876-200924,,,,,,,,
2º leilão," 261.600,0043",30/04/2025 às 11:23,Casa,"Goiânia / GO - Feliz Rua L3,  189",https://www.portalzuk.com.br/imovel/go/goiania/feliz/rua-l3-189/32876-200924,,,,,,,,
1º leilão,"
                      805.285,37",28/04/2025 às 11:26,Casa,"Ituiutaba / MG - Natal Rua Zero,  423",https://www.portalzuk.com.br/imovel/mg/ituiutaba/natal/rua-zero-423/32876-200925,,,,,,,,
2º leilão," 597.241,8926",30/04/2025 às 11:26,Casa,"Ituiutaba / MG - Natal Rua Zero,  423",https://www.portalzuk.com.br/imovel/mg/ituiutaba/natal/rua-zero-423/32876-200925,,,,,,,,
1º leilão,"
                      659.377,59",28/04/2025 às 11:29,Casa,"Sobral / CE - Padre Ibiapina Rua João Xxiii,  1104",https://www.portalzuk.com.br/imovel/ce/sobral/padre-ibiapina/rua-joao-xxiii-1104/32876-200926,,,,,,,,
2º leilão," 585.985,1311",30/04/2025 às 11:29,Casa,"Sobral / CE - Padre Ibiapina Rua João Xxiii,  1104",https://www.portalzuk.com.br/imovel/ce/sobral/padre-ibiapina/rua-joao-xxiii-1104/32876-200926,,,,,,,,
1º leilão,"
                      600.298,93",28/04/2025 às 11:32,Casa,"Goiânia / GO - Residencial Portinari Rua P 11,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/residencial-portinari/rua-p-11-s-nº-/32876-200927,,,,,,,,
2º leilão," 362.824,3940",30/04/2025 às 11:32,Casa,"Goiânia / GO - Residencial Portinari Rua P 11,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/residencial-portinari/rua-p-11-s-nº-/32876-200927,,,,,,,,
