endereco,leiloeiro,link_do_processo,tipo_leilao,url,valor
"Rua Geraldo Fazzio, Lt. 06-Porção 02 da Qd. 01/776, Parque Industrial São Domingos, Barra Bonita, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sp/barra-bonita/terreno-791-m2-barra-bonita-sp-rua-geraldo-fazzio-lt-06-porcao-02-da-qd-01776-parque-industrial-sao-domingos-x112752?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-791-m2-barra-bonita-sp-rua-geraldo-fazzio-lt-06-porcao-02-da-qd-01776-parque-industrial-sao-domingos-x112752&utm_term=X112752&utm_content=link,168000.00
"Rua Domingos João Guzzo, Lt. 05-Porção 03 da Qd. 0, Parque Industrial São Domingos, Barra Bonita, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sp/barra-bonita/terreno-869-m2-barra-bonita-sp-rua-domingos-joao-guzzo-lt-05-porcao-03-da-qd-01776-parque-industrial-sao-domingos-x112765?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-869-m2-barra-bonita-sp-rua-domingos-joao-guzzo-lt-05-porcao-03-da-qd-01776-parque-industrial-sao-domingos-x112765&utm_term=X112765&utm_content=link,282000.00
"Rua Semy Jacob José Saúda, 154, Parque dos Príncipes, São Paulo, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/sao-paulo/casa-253-m2-sao-paulo-sp-rua-semy-jacob-jose-sauda-154-parque-dos-principes-x112769?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-253-m2-sao-paulo-sp-rua-semy-jacob-jose-sauda-154-parque-dos-principes-x112769&utm_term=X112769&utm_content=link,576000.00
"Rua Gervásio da Silva Lessa, 207, Jardim Orestes Lopes de Camargo, Ribeirão Preto, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/ribeirao-preto/casa-94-m2-ribeirao-preto-sp-rua-gervasio-da-silva-lessa-207-jardim-orestes-lopes-de-camargo-x112767?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-94-m2-ribeirao-preto-sp-rua-gervasio-da-silva-lessa-207-jardim-orestes-lopes-de-camargo-x112767&utm_term=X112767&utm_content=link,110000.00
"Rua Ana Eufrazina, 153, Juquehy, São Sebastião, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/sao-sebastiao/casa-no-litoral-735-m2-juquehy-sao-sebastiao-sp-j111719?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-no-litoral-735-m2-juquehy-sao-sebastiao-sp-j111719&utm_term=J111719&utm_content=link,2829500.94
"Avenida Padre Orlando Garcia da Silveira, 566, Vila Penteado, São Paulo, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-44-m2-sao-paulo-sp-av-padre-orlando-garcia-da-silveira-566-apto-32-vila-penteado-x112768?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-44-m2-sao-paulo-sp-av-padre-orlando-garcia-da-silveira-566-apto-32-vila-penteado-x112768&utm_term=X112768&utm_content=link,108000.00
"Rua São João, 79, Granja Viana, Cotia, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/cotia/casa-981-m2-cotia-sp-rua-sao-joao-79-granja-viana-x112770?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-981-m2-cotia-sp-rua-sao-joao-79-granja-viana-x112770&utm_term=X112770&utm_content=link,2149000.00
"Rua Vivaldo Guimarães, 15-55, Jardim Nasralla, Bauru, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/bauru/sala-comercial-68-m2-bauru-sp-rua-vivaldo-guimaraes-15-55-quarteirao-15-sala-63b-jardim-nasralla-x112773?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-68-m2-bauru-sp-rua-vivaldo-guimaraes-15-55-quarteirao-15-sala-63b-jardim-nasralla-x112773&utm_term=X112773&utm_content=link,132000.00
"Rua João Almeida Moraes, 131, Vila Santa Helena, Tatuí, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/tatui/casa-em-terreno-de-297-m2-vila-santa-helena-tatui-sp-j112292?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-em-terreno-de-297-m2-vila-santa-helena-tatui-sp-j112292&utm_term=J112292&utm_content=link,241134.23
"Rua São Paulo, 2480, Santa Paula, São Caetano do Sul, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/sao-caetano-do-sul/casa-171-m2-santa-paula-sao-paulo-sp-j112387?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-171-m2-santa-paula-sao-paulo-sp-j112387&utm_term=J112387&utm_content=link,904688.00
