tipo_imovel,endereco,Link,rotulo,Valor (R$),Data,ocupado,Matrícula,Link do Processo,leiloeiro,Visitação,Formas de Pagamento,Direito de Preferência,Descrição do imóvel,Observações Gerais,Observações Adicionais,Status de Ocupação,Direitos do Compromissário,Andar,Detalhes dos Direitos,Link Saiba Mais,Link do Processo Judicial,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Status Leilão,Total_Fotos,Vagas
N/A,"Ipojuca / PE - Muro Alto Estrada do Muro Alto,  S/n",https://www.portalzuk.com.br/imovel/pe/ipojuca/muro-alto/estrada-do-muro-alto-s-n/33521-205709,1º leilão,1354223.52,16/07/2025 às 11:01,Este imóvel encontra-se ocupado no momento.,7.642 do 1º CRI -  Ipojuca/SP,,Itaú Unibanco S.A,N/A,,,N/A,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,,"147,55m²","60,00m²",,Imóvel ocupado,0,
N/A,"Ipojuca / PE - Muro Alto Estrada do Muro Alto,  S/n",https://www.portalzuk.com.br/imovel/pe/ipojuca/muro-alto/estrada-do-muro-alto-s-n/33521-205709,2º leilão,795284.5941,30/07/2025 às 11:01,Este imóvel encontra-se ocupado no momento.,7.642 do 1º CRI -  Ipojuca/SP,,Itaú Unibanco S.A,N/A,,,N/A,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,,"147,55m²","60,00m²",,Imóvel ocupado,0,
N/A,"São Paulo / SP - Santa Efigênia Rua Vinte e Cinco de Março,  1286",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-efigenia/rua-vinte-e-cinco-de-marco-1286/33256-203556,1º leilão,652456.58,26/06/2025 às 11:30,Este imóvel encontra-se ocupado no momento.,"50.901 do 05º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 00103200649",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) O arrematante arcará com os débitos pendentes que recaiam sobre o bem, exceto os decorrentes de débitos fiscais e tributários (CTN, art. 130, p.u.) e, no caso de imóveis, os débitos condominiais, os quais ficam sub-rogados no preço da arrematação.Débitos Condomínio: R$ 119.056,28 (09/2024 - Fls. 466-480).Débitos IPTU/Pref.: R$ 35.211,64 (até 02/05/2025, conforme pesquisa no site).2) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) O arrematante arcará com os débitos pendentes que recaiam sobre o bem, exceto os decorrentes de débitos fiscais e tributários (CTN, art. 130, p.u.) e, no caso de imóveis, os débitos condominiais, os quais ficam sub-rogados no preço da arrematação.Débitos Condomínio: R$ 119.056,28 (09/2024 - Fls. 466-480).Débitos IPTU/Pref.: R$ 35.211,64 (até 02/05/2025, conforme pesquisa no site).2) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,4,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,,"107,15m²",,3,Imóvel ocupado,0,
N/A,"São Paulo / SP - Santa Efigênia Rua Vinte e Cinco de Março,  1286",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-efigenia/rua-vinte-e-cinco-de-marco-1286/33256-203556,2º leilão,392491.7840,16/07/2025 às 11:30,Este imóvel encontra-se ocupado no momento.,"50.901 do 05º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 00103200649",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) O arrematante arcará com os débitos pendentes que recaiam sobre o bem, exceto os decorrentes de débitos fiscais e tributários (CTN, art. 130, p.u.) e, no caso de imóveis, os débitos condominiais, os quais ficam sub-rogados no preço da arrematação.Débitos Condomínio: R$ 119.056,28 (09/2024 - Fls. 466-480).Débitos IPTU/Pref.: R$ 35.211,64 (até 02/05/2025, conforme pesquisa no site).2) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) O arrematante arcará com os débitos pendentes que recaiam sobre o bem, exceto os decorrentes de débitos fiscais e tributários (CTN, art. 130, p.u.) e, no caso de imóveis, os débitos condominiais, os quais ficam sub-rogados no preço da arrematação.Débitos Condomínio: R$ 119.056,28 (09/2024 - Fls. 466-480).Débitos IPTU/Pref.: R$ 35.211,64 (até 02/05/2025, conforme pesquisa no site).2) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,4,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,,"107,15m²",,3,Imóvel ocupado,0,
N/A,"Itapetininga / SP - Jardim Monte Santo Rua Luiz Riberto,  58",https://www.portalzuk.com.br/imovel/sp/itapetininga/jardim-monte-santo/rua-luiz-riberto-58/33258-203561,1º leilão,381542.16,26/06/2025 às 11:40,Este imóvel encontra-se ocupado no momento.,"27.972 do 1º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 06230080221001",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 09/10/2024 sobre o Imóvel recaem R$ 16.670,70 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 09/10/2024 sobre o Imóvel recaem R$ 16.670,70 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,"209,00m²",,"296,50m²",,,,Imóvel ocupado,0,
N/A,"Itapetininga / SP - Jardim Monte Santo Rua Luiz Riberto,  58",https://www.portalzuk.com.br/imovel/sp/itapetininga/jardim-monte-santo/rua-luiz-riberto-58/33258-203561,2º leilão,191267.0850,16/07/2025 às 11:40,Este imóvel encontra-se ocupado no momento.,"27.972 do 1º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 06230080221001",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 09/10/2024 sobre o Imóvel recaem R$ 16.670,70 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 09/10/2024 sobre o Imóvel recaem R$ 16.670,70 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,"209,00m²",,"296,50m²",,,,Imóvel ocupado,0,
N/A,"São Paulo / SP - Vila Chabilândia Rua Cruz do Espírito Santo,  854",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-chabilandia/rua-cruz-do-espirito-santo-854/33325-203871,1º leilão,62031.63,26/06/2025 às 11:40,Este imóvel encontra-se ocupado no momento.,"174.858 do 7º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 11501802886",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Conforme determinado no edital, o produto da venda será destinado ao pagamento de débitos de IPTU/Condomínio, e caso o produto da venda não seja suficiente, a diferença será de responsabilidade do arrematante.Débitos Condomínio: R$ 6.498,12.Débitos IPTU/Pref.: Sem Débitos (até 20/04/20252) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.5) Serão alienados apenas os Direitos do Fiduciante, ou seja, o arrematante assumirá os direitos e deveres do mutuário perante a Credora Fiduciária Caixa Econômica Federal, portanto deverá buscar a regularização contratual junto à credora (o que pode ou não implicar no dever de pagamento do saldo contratual). Conforme fls. 328/330 dos autos, o saldo devedor junto à credora fiduciária Caixa Econômica Federal - CEF é de R$ 44.749,65, atualizado até 12/11/2024.","1) Conforme determinado no edital, o produto da venda será destinado ao pagamento de débitos de IPTU/Condomínio, e caso o produto da venda não seja suficiente, a diferença será de responsabilidade do arrematante.Débitos Condomínio: R$ 6.498,12.Débitos IPTU/Pref.: Sem Débitos (até 20/04/20252) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.5) Serão alienados apenas os Direitos do Fiduciante, ou seja, o arrematante assumirá os direitos e deveres do mutuário perante a Credora Fiduciária Caixa Econômica Federal, portanto deverá buscar a regularização contratual junto à credora (o que pode ou não implicar no dever de pagamento do saldo contratual). Conforme fls. 328/330 dos autos, o saldo devedor junto à credora fiduciária Caixa Econômica Federal - CEF é de R$ 44.749,65, atualizado até 12/11/2024.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,,"86,54m²","42,50m²",,Imóvel ocupado,0,1
N/A,"São Paulo / SP - Vila Chabilândia Rua Cruz do Espírito Santo,  854",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-chabilandia/rua-cruz-do-espirito-santo-854/33325-203871,2º leilão,37218.9840,16/07/2025 às 11:40,Este imóvel encontra-se ocupado no momento.,"174.858 do 7º CRI -  São Paulo/SP
                                      -  Nº Contribuinte: 11501802886",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Conforme determinado no edital, o produto da venda será destinado ao pagamento de débitos de IPTU/Condomínio, e caso o produto da venda não seja suficiente, a diferença será de responsabilidade do arrematante.Débitos Condomínio: R$ 6.498,12.Débitos IPTU/Pref.: Sem Débitos (até 20/04/20252) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.5) Serão alienados apenas os Direitos do Fiduciante, ou seja, o arrematante assumirá os direitos e deveres do mutuário perante a Credora Fiduciária Caixa Econômica Federal, portanto deverá buscar a regularização contratual junto à credora (o que pode ou não implicar no dever de pagamento do saldo contratual). Conforme fls. 328/330 dos autos, o saldo devedor junto à credora fiduciária Caixa Econômica Federal - CEF é de R$ 44.749,65, atualizado até 12/11/2024.","1) Conforme determinado no edital, o produto da venda será destinado ao pagamento de débitos de IPTU/Condomínio, e caso o produto da venda não seja suficiente, a diferença será de responsabilidade do arrematante.Débitos Condomínio: R$ 6.498,12.Débitos IPTU/Pref.: Sem Débitos (até 20/04/20252) Condição de venda: À vista (não admite utilização de carta de crédito).3) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento4) Imóvel Ocupado. Desocupação por conta do Arrematante.5) Serão alienados apenas os Direitos do Fiduciante, ou seja, o arrematante assumirá os direitos e deveres do mutuário perante a Credora Fiduciária Caixa Econômica Federal, portanto deverá buscar a regularização contratual junto à credora (o que pode ou não implicar no dever de pagamento do saldo contratual). Conforme fls. 328/330 dos autos, o saldo devedor junto à credora fiduciária Caixa Econômica Federal - CEF é de R$ 44.749,65, atualizado até 12/11/2024.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,,"86,54m²","42,50m²",,Imóvel ocupado,0,1
N/A,"Araçatuba / SP - Guanabara Rua Ex-Vereador Seme Abrão,  552",https://www.portalzuk.com.br/imovel/sp/aracatuba/guanabara/rua-ex_vereador-seme-abrao-552/33479-205178,1º leilão,131813.43,16/07/2025 às 11:50,Este imóvel encontra-se ocupado no momento.,"11.844 do 01º CRI -  Araçatuba/SP
                                      -  Nº Contribuinte: 3120011001601220100",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,"73,63m²",,"345,40m²",,,2,Imóvel ocupado,0,
N/A,"Araçatuba / SP - Guanabara Rua Ex-Vereador Seme Abrão,  552",https://www.portalzuk.com.br/imovel/sp/aracatuba/guanabara/rua-ex_vereador-seme-abrao-552/33479-205178,2º leilão,79088.0640,05/08/2025 às 11:50,Este imóvel encontra-se ocupado no momento.,"11.844 do 01º CRI -  Araçatuba/SP
                                      -  Nº Contribuinte: 3120011001601220100",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,"73,63m²",,"345,40m²",,,2,Imóvel ocupado,0,
