comitente,edital_link,endereco,error,leiloeiro,matricula_link,processo_link,tipo_leilao,url,valor
BANCO BRADESCO S.A.,,"Rua Maria Mathilde Moda Silva, 100, Bosque das Juritis, Ribeirão Preto, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/ribeirao-preto/apartamento-28-m2-ribeirao-preto-sp-rua-maria-mathilde-moda-silva-100-apto-608-a-bosque-dos-buritis-x113048?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-28-m2-ribeirao-preto-sp-rua-maria-mathilde-moda-silva-100-apto-608-a-bosque-dos-buritis-x113048&utm_term=X113048&utm_content=link,658743.68
BANCO SANTANDER S.A.,,"Avenida Cardoso Moreira, 897, Centro, Itaperuna, RJ",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/rj/itaperuna/sala-comercial-132-m2-centro-itaperuna-rj-x112753?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-132-m2-centro-itaperuna-rj-x112753&utm_term=X112753&utm_content=link,691200.00
BANCO SANTANDER S.A.,,"Rua Ouro Fino, 395, Cruzeiro, Belo Horizonte, MG",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/mg/belo-horizonte/salas-comerciais-427-m2-unids-801-a-805-cruzeiro-belo-horizonte-mg-x112754?utm_source=megaleiloes&utm_medium=link&utm_campaign=salas-comerciais-427-m2-unids-801-a-805-cruzeiro-belo-horizonte-mg-x112754&utm_term=X112754&utm_content=link,2105000.00
BSP EMPRENDIMENTOS IMOBILIÁRIOS S/A,,"Avenida Doutor Chucri Zaidan, 80, Vila Cordeiro, São Paulo, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/sao-paulo/sala-comercial-457-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-sala-1-b-vila-cordeiro-x112657?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-457-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-sala-1-b-vila-cordeiro-x112657&utm_term=X112657&utm_content=link,1640000.00
BANCO SANTANDER S.A.,,"Avenida das Américas, 3555, Barra da Tijuca, Rio de Janeiro, RJ",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/rj/rio-de-janeiro/sala-comercial-30-m2-01-vaga-barra-da-tijuca-rio-de-janeiro-rj-x112756?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-30-m2-01-vaga-barra-da-tijuca-rio-de-janeiro-rj-x112756&utm_term=X112756&utm_content=link,195000.00
BANCO BRADESCO S.A.,,"Rua Clementina Caldart, 285, Centro, Capinzal, SC",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sc/capinzal/apartamento-51-m2-capinzal-sc-rua-clementina-caldart-285-apto-303-centro-x113049?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-51-m2-capinzal-sc-rua-clementina-caldart-285-apto-303-centro-x113049&utm_term=X113049&utm_content=link,343287.74
BANCO SANTANDER S.A.,,"Rua Conselheiro Crispiniano, 398, República, São Paulo, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/sao-paulo/sala-comercial-132-m2-conj-601-republica-sao-paulo-sp-x112757?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-132-m2-conj-601-republica-sao-paulo-sp-x112757&utm_term=X112757&utm_content=link,372000.00
BSP EMPRENDIMENTOS IMOBILIÁRIOS S/A,,"Avenida Doutor Chucri Zaidan, 80, Vila Cordeiro, São Paulo, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/sao-paulo/sala-comercial-457-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-sala-2-b-vila-cordeiro-x112658?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-457-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-sala-2-b-vila-cordeiro-x112658&utm_term=X112658&utm_content=link,1640000.00
BANCO SANTANDER S.A.,,"Travessa João Tito, 143, Bico Torto, Apodi, RN",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/galpoes/rn/apodi/galpao-500-m2-bico-torto-apodi-rn-x112758?utm_source=megaleiloes&utm_medium=link&utm_campaign=galpao-500-m2-bico-torto-apodi-rn-x112758&utm_term=X112758&utm_content=link,997000.00
BSP EMPRENDIMENTOS IMOBILIÁRIOS S/A,,"Avenida Doutor Chucri Zaidan, 80, Vila Cordeiro, São Paulo, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/sao-paulo/salas-comerciais-914-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-salas-3-b-e-4-b-vila-cordeiro-x112659?utm_source=megaleiloes&utm_medium=link&utm_campaign=salas-comerciais-914-m2-sao-paulo-sp-av-dr-chucri-zaidan-80-salas-3-b-e-4-b-vila-cordeiro-x112659&utm_term=X112659&utm_content=link,3300000.00
